ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
61014,Kathrin Klaas,F,24.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's Hammer Throw,,Germany
61014,Kathrin Klaas,F,28.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's Hammer Throw,,Germany
61014,Kathrin Klaas,F,32.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's Hammer Throw,,Germany
61120,Helga Klein (-Erny),F,20.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 100 metres,,Germany
61120,Helga Klein (-Erny),F,20.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 200 metres,,Germany
61120,Helga Klein (-Erny),F,20.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 4 x 100 metres Relay,Silver,Germany
61141,Wolfgang Klein,M,23.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Long Jump,,Germany
61154,Nadine Kleinert-Schmitt,F,24.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Shot Put,,Germany
61154,Nadine Kleinert-Schmitt,F,28.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's Shot Put,Silver,Germany
61154,Nadine Kleinert-Schmitt,F,32.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's Shot Put,,Germany
61154,Nadine Kleinert-Schmitt,F,36.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's Shot Put,,Germany
61359,Konstanze Klosterhalfen,F,19.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,"Athletics Women's 1,500 metres",,Germany
61393,Rudolf Klupsch,M,31.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 400 metres,,Germany
61395,"Hildegard ""Hilde"" Klusenwerth (-le Viseur)",F,26.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 80 metres Hurdles,,Germany
61422,Ursula Knab (-Schlicksupp),F,22.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 200 metres,,Germany
61422,Ursula Knab (-Schlicksupp),F,22.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 4 x 100 metres Relay,Silver,Germany
61486,Manfred Knickenberg,M,27.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's 100 metres,,Germany
